# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789689944	warmup	377952	10.69	0.18	0.048	365.6	257.6	19	1925
1789689950	mux-tunnels-2-pre	377952	10.93	0.17	0.038	365.6	269.3	19	1969
1789690114	mux-tunnels-2-post	407176	25.23	0.27	0.068	414.1	221.3	50	3488
1789690149	mux-tunnels-2-settled	395828	27.58	0.15	0.078	414.1	211.1	51	3743
1789690174	mux-legs-2-pre	396276	29.35	0.26	0.058	415.2	197.0	53	3784
1789690291	mux-legs-2-post	407240	41.63	0.37	0.068	435.3	280.6	78	4265
1789690327	mux-legs-2-settled	378704	43.85	0.39	0.074	435.3	168.6	80	4314
1789690429	mux-compose-T2xL2-pre	434128	51.35	0.13	0.128	436.0	288.0	86	4569
1789690774	mux-compose-T2xL2-post	492068	93.63	0.08	0.046	520.3	301.1	176	4794
1789690810	mux-compose-T2xL2-settled	429708	96.44	0.05	0.120	521.3	194.8	178	4807
