# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789684121	warmup	373120	11.21	0.27	0.044	357.6	205.5	21	2144
1789684127	mux-tunnels-2-pre	373120	11.48	0.33	0.046	357.6	213.7	21	2213
1789684291	mux-tunnels-2-post	410820	25.57	0.07	0.062	414.4	244.4	47	3671
1789684327	mux-tunnels-2-settled	411960	28.29	0.12	0.072	415.5	179.7	50	4036
1789684349	mux-legs-2-pre	411960	29.76	0.08	0.074	415.5	271.7	50	4068
1789684438	mux-legs-2-post	424512	39.50	0.30	0.054	443.5	205.4	73	4238
1789684474	mux-legs-2-settled	428984	42.21	0.43	0.088	444.0	225.0	76	4295
1789684534	mux-compose-T2xL2-pre	422816	46.27	0.15	0.050	444.0	225.7	79	4501
1789685054	mux-compose-T2xL2-post	458128	94.15	0.20	0.074	497.1	251.7	139	5169
1789685090	mux-compose-T2xL2-settled	461024	97.21	0.11	0.062	497.1	299.3	141	5168
