# transports mux-tunnels-2 was measured over; first_seen_row 0 = held at set start
# tp	type	remote_pk	first_seen_row
02126dd46a2f667c162bb0818bdaf2f5cae645e079a9637d5de34a2c3a9e473009	4
35766599-ea0c-0cb5-abfb-3836bc9badb1	stcpr
stcpr	03a4a29d19804bd98d9a8197a327d53d0d00865815ee7d0a320cd0da4250102cdb
03a4a29d19804bd98d9a8197a327d53d0d00865815ee7d0a320cd0da4250102cdb	4
6397566b-3203-01cd-80f2-2b8e8c4459b7	stcpr
stcpr	02bd2ec63268c54fcc87757c903164d8f1d02d00850f38c99e272083e2243d4370
02bd2ec63268c54fcc87757c903164d8f1d02d00850f38c99e272083e2243d4370	4
f84bf1ce-b256-0b4e-9be4-6fd1b20df604	stcpr
stcpr	0323d4a6b39e270eafd4eef2f6728c92b82610385a0e0b195afa4e2a5218178d2a
0323d4a6b39e270eafd4eef2f6728c92b82610385a0e0b195afa4e2a5218178d2a	4
696629b6-c362-0f0c-addf-1dbaacc9a0cd	stcpr
stcpr	03ecc7d108a98480b40a85bbfadb8f477d0c3559316306dcd7ba52fa3d21dad91e
03ecc7d108a98480b40a85bbfadb8f477d0c3559316306dcd7ba52fa3d21dad91e	4
8a54bfd2-6c97-04cd-a69b-680f824143fd	stcpr
stcpr	03a7aa54c5484c1a4a8aa54a14b7ab3db257d88550591353670d67d3549347841d
03a7aa54c5484c1a4a8aa54a14b7ab3db257d88550591353670d67d3549347841d	4
0e0393f2-53fd-0029-935b-8688a3a08f20	squicr
squicr	0306ad93b7602ef24438231f45ba93efe775ac6451cca4c07203152260c04fdf73
0306ad93b7602ef24438231f45ba93efe775ac6451cca4c07203152260c04fdf73	4
337672ba-7854-0ecc-94db-dc6c10734630	stcpr
stcpr	029a5ebc690fed2bc6028be23b2463e123ad02ca56c3c054023525662c3b3df4b8
029a5ebc690fed2bc6028be23b2463e123ad02ca56c3c054023525662c3b3df4b8	4
