# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789727450	warmup	347460	8.20	0.03	0.060	352.9	151.8	19	1502
1789727455	mux-tunnels-2-pre	347460	8.60	0.03	0.072	352.9	189.7	19	1662
1789727723	mux-tunnels-2-post	404388	36.20	0.25	0.060	430.4	202.9	93	3995
1789727759	mux-tunnels-2-settled	415604	39.05	0.19	0.088	431.9	185.3	96	4188
1789727784	mux-legs-2-pre	415604	40.32	0.35	0.042	431.9	282.6	96	4144
1789727978	mux-legs-2-post	441916	64.08	0.21	0.052	444.0	261.1	162	4331
1789728014	mux-legs-2-settled	446780	66.28	0.12	0.046	444.8	193.0	164	4397
1789728072	mux-compose-T2xL2-pre	431184	69.78	0.12	0.050	444.8	341.0	166	4492
1789728484	mux-compose-T2xL2-post	421892	119.10	0.59	0.048	476.9	262.1	290	4874
1789728520	mux-compose-T2xL2-settled	427220	121.41	0.62	0.048	476.9	254.6	292	4929
