# set	rows	fwd_pass	fwd_fail	fwd_info	dominant_fwd_leg	dominant_kind	rev_pass	rev_fail	rev_info	max_rev_fanout	flips	flip_rows
mux-compose-T2xL2	21	1	4	16	fdab37dd	other	10	0	11	4	8	5,7,8,10,12,13,14,17
mux-legs-2	16	6	5	5	fdab37dd	other	5	0	11	2	3	6,9,14
mux-tunnels-2	16	1	0	15	b414796d	direct	5	0	11	3	1	16
