# mux-legs-2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	rev_bytes/rev_share on 16 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
7	mux-legs-2-t2	up	10000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	10016819	487	100.0%	65.7%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
7	mux-legs-2-t2	up	10000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1	254	0.0%	34.3%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
8	mux-legs-2-t3	up	10000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	10016820	562	100.0%	83.6%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
8	mux-legs-2-t3	up	10000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1	110	0.0%	16.4%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
9	mux-legs-2-t1	down	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	10298	26092211	100.0%	35.9%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
9	mux-legs-2-t1	down	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	2	46600821	0.0%	64.1%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
10	mux-legs-2-t2	down	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	8306	31328565	99.1%	61.4%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
10	mux-legs-2-t2	down	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	72	19662851	0.9%	38.6%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
11	mux-legs-2-t3	down	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	7771	30585037	98.8%	59.2%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
11	mux-legs-2-t3	down	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	96	21103466	1.2%	40.8%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
12	mux-legs-2-t4	down	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	7549	29847088	99.8%	59.2%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
12	mux-legs-2-t4	down	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	17	20594101	0.2%	40.8%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
13	mux-legs-2-t5	down	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	9298	28644409	100.0%	57.2%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
13	mux-legs-2-t5	down	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	2	21435813	0.0%	42.8%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
14	mux-legs-2-t1	up	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	50081510	456009	100.0%	51.8%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
14	mux-legs-2-t1	up	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	80	423535	0.0%	48.2%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
15	mux-legs-2-t2	up	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	50079921	922	100.0%	87.7%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
15	mux-legs-2-t2	up	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1	129	0.0%	12.3%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
16	mux-legs-2-t3	up	50000000	95839ad0	49228	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	44.893709	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	222	457605	0.0%	51.9%	local-recv	dc5330cf	no	0	354.59	173710853	130218115
16	mux-legs-2-t3	up	50000000	f1012467	49228	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	148.293248	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	50081381	423333	100.0%	48.1%	local-recv	57c570d9	no	2026	304.64	160641483	50081309
#
# verdicts
# row	label	dir	size	forward_on	forward_kind	forward_share	forward	reverse_fanout	reverse_max_share	reverse	flip
1	mux-legs-2-t1	down	10000000	95839ad0	lowest-latency	99.6%	PASS	2	70.9%	INFO	-
2	mux-legs-2-t2	down	10000000	95839ad0	lowest-latency	100.0%	PASS	2	50.2%	INFO	same
3	mux-legs-2-t3	down	10000000	95839ad0	lowest-latency	100.0%	PASS	2	50.5%	INFO	same
4	mux-legs-2-t4	down	10000000	95839ad0	lowest-latency	100.0%	PASS	2	50.1%	INFO	same
5	mux-legs-2-t5	down	10000000	95839ad0	lowest-latency	99.9%	PASS	2	65.4%	INFO	same
6	mux-legs-2-t1	up	10000000	95839ad0	lowest-latency	100.0%	PASS	2	52.0%	INFO	same
7	mux-legs-2-t2	up	10000000	95839ad0	lowest-latency	100.0%	PASS	2	65.7%	INFO	same
8	mux-legs-2-t3	up	10000000	95839ad0	lowest-latency	100.0%	PASS	2	83.6%	INFO	same
9	mux-legs-2-t1	down	50000000	95839ad0	lowest-latency	100.0%	PASS	2	64.1%	PASS	same
10	mux-legs-2-t2	down	50000000	95839ad0	lowest-latency	99.1%	PASS	2	61.4%	PASS	same
11	mux-legs-2-t3	down	50000000	95839ad0	lowest-latency	98.8%	PASS	2	59.2%	PASS	same
12	mux-legs-2-t4	down	50000000	95839ad0	lowest-latency	99.8%	PASS	2	59.2%	PASS	same
13	mux-legs-2-t5	down	50000000	95839ad0	lowest-latency	100.0%	PASS	2	57.2%	PASS	same
14	mux-legs-2-t1	up	50000000	95839ad0	lowest-latency	100.0%	PASS	2	51.8%	INFO	same
15	mux-legs-2-t2	up	50000000	95839ad0	lowest-latency	100.0%	PASS	2	87.7%	INFO	same
16	mux-legs-2-t3	up	50000000	f1012467	other	100.0%	FAIL	2	51.9%	INFO	flip:95839ad0->f1012467
# flip	1 change(s) of the dominant forward leg at row(s) 16
