# row	subject	cut_at_s	what_cut	bytes_before_cut	ttfb_after_s	goodput_before_Bps	goodput_after_Bps	restored	rg_ports_after
1	mux-degrade-tunnels-2	2.940	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	28920166	1.905	9836791	432748	1	49172,49174,49175,49176,49177,49178,49179,49181
2	mux-degrade-tunnels-2	3.209	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	29770792	3.212	9277280	761699	1	49182,49184,49185,49186,49187,49188,49189
