# transports mux-tunnels-2 was measured over; first_seen_row 0 = held at set start
# tp	type	remote_pk	first_seen_row
b414796d-14fc-080e-9ce6-a7162e3e562b	stcpr	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	0
95839ad0-b588-0b1d-8475-45fba6ae993c	stcpr	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	0
fdab37dd-c35e-05bc-9e51-cd6b024e3eec	stcpr	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	0
f1012467-de9d-09a9-8b49-62a43945c24b	stcpr	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	0
ac40965a-bc99-01e4-a2c9-c26b76db013b	stcpr	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	0
2c4ae7a5-de55-0e09-bd14-7febf7d9f972	stcpr	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	0
50cdb857-a262-0ae5-bf5b-5c93c8025b69	stcpr	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	0
6cb2bbf7-d849-0254-9941-88707e107646	stcpr	033bfa305dd5b5841089e428773ad58dacf7989debfaa32d7c90226eeb49cfe5c1	0
3e59e96d-95fb-0e0e-beaf-e18630d8a8a7	stcpr	0378d563c2a80082e327650198807d8509a9eb1d07ef0828736dd8409093955f0b	12
797a3969-3f39-0a33-bf84-0827fdcdf7de	stcpr	0395d736dce363b8780e2c07e79453dd9d8901e1410c8733945ef0ea0eeced5bac	13
