# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789744803	warmup	354692	10.49	0.05	0.050	361.7	163.9	21	1867
1789744808	mux-tunnels-2-pre	354692	10.70	0.28	0.034	361.7	171.8	21	1897
1789745113	mux-tunnels-2-post	414004	38.41	0.23	0.048	410.9	272.2	95	3834
1789745149	mux-tunnels-2-settled	391204	40.50	0.43	0.050	411.1	300.7	97	3927
1789745220	mux-legs-2-pre	422948	44.79	0.33	0.040	412.0	217.2	102	3964
1789745535	mux-legs-2-post	438056	75.71	0.18	0.048	436.3	286.7	175	4499
1789745571	mux-legs-2-settled	409380	77.82	0.19	0.050	436.3	268.0	177	4507
