# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789760602	warmup	441052	29.75	0.09	0.070	427.4	233.2	42	4508
1789760609	mux-tunnels-2-pre	441052	30.15	0.08	0.070	427.4	271.8	42	4546
1789760884	mux-tunnels-2-post	471972	62.52	0.42	0.080	472.0	194.2	112	4868
1789760920	mux-tunnels-2-settled	458020	64.98	0.63	0.064	472.0	223.6	114	4904
1789760957	mux-legs-2-pre	415624	67.42	0.53	0.054	472.1	319.6	116	4508
1789761188	mux-legs-2-post	451448	94.48	0.03	0.058	472.1	269.9	181	4741
1789761224	mux-legs-2-settled	451960	96.64	0.21	0.066	472.6	250.1	183	4739
