# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789714321	warmup	389540	9.53	0.08	0.058	373.5	269.8	19	1817
1789714327	mux-tunnels-2-pre	350428	10.08	0.06	0.074	373.5	152.5	21	1872
1789714595	mux-tunnels-2-post	437256	39.33	0.24	0.114	446.3	278.8	90	3847
1789714631	mux-tunnels-2-settled	390516	41.60	0.25	0.048	446.8	290.5	91	3981
1789714658	mux-legs-2-pre	418980	43.34	0.15	0.048	447.7	237.5	93	3943
1789714876	mux-legs-2-post	426588	68.82	0.47	0.094	459.8	221.8	160	4078
1789714912	mux-legs-2-settled	398836	70.77	0.39	0.098	459.8	210.5	161	4189
1789714975	mux-compose-T2xL2-pre	407388	75.07	0.21	0.082	459.8	215.7	165	4371
1789715610	mux-compose-T2xL2-post	471620	140.85	0.29	0.060	516.9	234.3	292	4907
1789715646	mux-compose-T2xL2-settled	469956	143.41	0.21	0.052	517.1	238.2	294	4880
