# mux-standby-9 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit's per-leg record has no byte counter (only tp, standby, retransmits, dup_bytes, ack_delay_ms), so exit_bytes is the local recv_delta of the same leg — the bytes the exit sent that arrived there
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs of ACTIVE groups only; standby legs are listed with their bytes and a "-" share
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	exit_tp	exit_standby	exit_retx	exit_ack_ms
2	mux-standby-9-t2	down	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	248.833489	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	37	37	-	-	38288b5a	no	0	599.07
2	mux-standby-9-t2	down	10000000	d33d56d2	49182	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	379.875147	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	111	138	-	-	000864b9	no	3	2195.2
3	mux-standby-9-t3	down	10000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	43815	5102603	98.4%	56.3%	b414796d	no	0	495.76
3	mux-standby-9-t3	down	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	173.481651	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	719	3959029	1.6%	43.7%	57c570d9	no	1	1193.57
3	mux-standby-9-t3	down	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	66.934211	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	525	2119020	-	-	dc5330cf	no	1	907.09
3	mux-standby-9-t3	down	10000000	fdab37dd	49178	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	181.152316	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	108	161093	-	-	7420f415	no	1	249.91
3	mux-standby-9-t3	down	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	282.903868	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	69	37	-	-	3de424e0	no	1	489.19
3	mux-standby-9-t3	down	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	301.16552	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	37	37	-	-	d0b47ec2	no	1	564.83
3	mux-standby-9-t3	down	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	248.833489	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	69	69	-	-	38288b5a	no	0	935.78
3	mux-standby-9-t3	down	10000000	d33d56d2	49182	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	379.875147	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	42	42	-	-	000864b9	no	3	1849.42
4	mux-standby-9-t1	up	10000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	5038292	26451	50.2%	95.3%	b414796d	no	1	533.11
4	mux-standby-9-t1	up	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	173.481651	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	5003637	1319	49.8%	4.7%	57c570d9	no	2	334.49
4	mux-standby-9-t1	up	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	66.934211	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	109	77	-	-	dc5330cf	no	1	251.14
4	mux-standby-9-t1	up	10000000	fdab37dd	49178	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	181.152316	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	37	37	-	-	7420f415	no	1	272.73
4	mux-standby-9-t1	up	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	282.903868	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	37	101	-	-	3de424e0	no	1	517.08
4	mux-standby-9-t1	up	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	301.16552	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	77	77	-	-	d0b47ec2	no	1	548.14
4	mux-standby-9-t1	up	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	248.833489	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	69	69	-	-	38288b5a	no	0	619.01
4	mux-standby-9-t1	up	10000000	d33d56d2	49182	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	379.875147	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	37	32	-	-	000864b9	no	3	909.23
5	mux-standby-9-t2	up	10000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	7560863	38826	75.1%	97.3%	b414796d	no	1	236.01
5	mux-standby-9-t2	up	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	173.481651	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	2511636	1067	24.9%	2.7%	57c570d9	no	4	231.03
5	mux-standby-9-t2	up	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	66.934211	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	244	175	-	-	dc5330cf	no	1	232.71
5	mux-standby-9-t2	up	10000000	fdab37dd	49178	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	181.152316	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	69	69	-	-	7420f415	no	1	273.14
5	mux-standby-9-t2	up	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	282.903868	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	106	138	-	-	3de424e0	no	1	506.19
5	mux-standby-9-t2	up	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	301.16552	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	101	37	-	-	d0b47ec2	no	1	518.74
5	mux-standby-9-t2	up	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	248.833489	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	138	106	-	-	38288b5a	no	0	597.38
5	mux-standby-9-t2	up	10000000	d33d56d2	49182	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	379.875147	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	74	106	-	-	000864b9	no	3	0
