# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789707523	warmup	362388	11.48	0.08	0.070	377.5	172.2	20	2267
1789707530	mux-tunnels-2-pre	362388	11.76	0.07	0.046	377.5	180.6	20	2324
1789707831	mux-tunnels-2-post	388688	42.61	0.68	0.066	438.9	166.4	94	4473
1789707867	mux-tunnels-2-settled	412496	44.85	0.43	0.056	439.4	338.7	95	4507
1789707891	mux-legs-2-pre	412044	46.11	0.52	0.050	439.5	275.1	96	4417
1789708130	mux-legs-2-post	426920	71.79	0.55	0.040	451.7	291.5	162	4623
1789708166	mux-legs-2-settled	428968	73.81	0.35	0.050	451.7	318.1	163	4653
1789708257	mux-compose-T2xL2-pre	458024	79.55	0.52	0.052	452.4	322.4	167	4838
1789708767	mux-compose-T2xL2-post	507136	135.62	0.22	0.060	496.8	322.7	289	5189
1789708803	mux-compose-T2xL2-settled	435280	138.00	0.12	0.130	496.8	301.0	291	5178
