# set	rows	fwd_pass	fwd_fail	fwd_info	dominant_fwd_leg	dominant_kind	rev_pass	rev_fail	rev_info	max_rev_fanout	flips	flip_rows
mux-degrade-tunnels-2	2	0	0	2	fdab37dd	other	0	0	2	1	0	-
mux-spread-3	8	3	0	5	b414796d	direct	5	0	3	3	1	6
mux-standby-8	12	9	0	3	b414796d	direct	3	0	9	3	0	-
mux-tunnels-2	16	4	0	12	95839ad0	lowest-latency	5	0	11	3	6	5,6,8,12,13,15
