# exit=022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1 local=6a86be622 exit_commit=6a86be622 session=skysocks-client route=0323272a>02a2d4c3@2c4ae7a5,02a2d4c3>022716fb@d0b47ec2 transport=stcpr,stcpr legs=[2c4ae7a5-de55-0e09-bd14-7febf7d9f972 stcpr;] sink=http://127.0.0.1:18080
ref-via-02a2d4c3-t1	down	10000000	2514593	200	10000000	3.976791	1
ref-via-02a2d4c3-t2	down	10000000	3581628	200	10000000	2.792030	1
ref-via-02a2d4c3-t3	down	10000000	3511547	200	10000000	2.847751	1
ref-via-02a2d4c3-t4	down	10000000	2843491	200	10000000	3.516807	1
ref-via-02a2d4c3-t5	down	10000000	3675200	200	10000000	2.720953	1
ref-via-02a2d4c3-t1	up	10000000	1665045	200	10000000	6.005847	1
ref-via-02a2d4c3-t2	up	10000000	624840	200	10000000	16.004093	1
ref-via-02a2d4c3-t3	up	10000000	541573	200	10000000	18.464704	1
ref-via-02a2d4c3-t4	up	10000000	526756	200	10000000	18.984089	1
ref-via-02a2d4c3-t5	up	10000000	1495504	200	10000000	6.686715	1
ref-via-02a2d4c3-t1	down	50000000	4240980	200	50000000	11.789731	1
ref-via-02a2d4c3-t2	down	50000000	3878552	200	50000000	12.891412	1
ref-via-02a2d4c3-t3	down	50000000	4359682	200	50000000	11.468730	1
ref-via-02a2d4c3-t4	down	50000000	5692558	200	50000000	8.783401	1
ref-via-02a2d4c3-t5	down	50000000	4537868	200	50000000	11.018393	1
ref-via-02a2d4c3-t1	up	50000000	4142444	200	50000000	12.070172	1
ref-via-02a2d4c3-t2	up	50000000	6901819	200	50000000	7.244472	1
ref-via-02a2d4c3-t3	up	50000000	6229959	200	50000000	8.025740	1
ref-via-02a2d4c3-t4	up	50000000	6357284	200	50000000	7.864996	1
ref-via-02a2d4c3-t5	up	50000000	4889633	200	50000000	10.225722	1
