# set	rows	fwd_pass	fwd_fail	fwd_info	dominant_fwd_leg	dominant_kind	rev_pass	rev_fail	rev_info	max_rev_fanout	flips	flip_rows
mux-compose-T2xL2	21	0	1	20	f1012467	other	10	0	11	4	11	2,3,7,8,9,10,15,17,19,20,21
mux-legs-2	16	5	6	5	fdab37dd	other	4	1	11	2	3	6,8,14
mux-tunnels-2	16	7	1	8	b414796d	direct	5	0	11	3	5	3,6,9,13,14
