# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789717848	warmup	386304	9.16	0.03	0.052	434.4	208.2	18	2009
1789717854	mux-tunnels-2-pre	386304	9.43	0.03	0.046	434.6	225.2	18	2072
1789718139	mux-tunnels-2-post	416856	37.62	0.21	0.052	434.9	300.6	91	4217
1789718175	mux-tunnels-2-settled	401436	39.73	0.12	0.042	435.2	292.5	93	4249
1789718202	mux-legs-2-pre	407628	41.30	0.07	0.096	435.5	266.4	95	4183
1789718419	mux-legs-2-post	428808	66.34	0.16	0.070	435.5	178.2	164	4370
1789718455	mux-legs-2-settled	428808	68.08	0.09	0.044	435.8	312.8	164	4424
1789718534	mux-compose-T2xL2-pre	430984	73.17	0.10	0.050	436.3	206.7	169	4588
1789719207	mux-compose-T2xL2-post	471104	139.63	0.43	0.048	493.1	264.0	310	4989
1789719243	mux-compose-T2xL2-settled	400680	141.86	0.41	0.054	493.1	283.4	312	5012
