# pick-ref: 3 candidates x 2 trials of 50000000 bytes down, exit=022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1 sink=http://127.0.0.1:18080
# candidate	median_MBps	trials_ok	source_rank_MBps
0371ab4b	8.23	2/2	5.43
03f57e7c	5.79	2/2	5.01
0281a102	3.03	2/2	4.86
