# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789680905	warmup	409992	14.09	0.21	0.054	397.6	285.7	21	2634
1789680911	mux-tunnels-2-pre	368136	14.46	0.19	0.048	397.6	176.5	22	2695
1789681060	mux-tunnels-2-post	441184	29.70	0.13	0.112	422.4	193.7	47	4156
1789681096	mux-tunnels-2-settled	425300	32.51	0.11	0.106	423.8	297.8	49	4375
1789681121	mux-legs-2-pre	418236	34.37	0.23	0.098	423.9	268.7	50	4449
1789681223	mux-legs-2-post	461700	45.96	0.12	0.056	448.0	233.3	73	4699
1789681259	mux-legs-2-settled	439184	48.97	0.28	0.040	448.0	199.6	76	4771
1789681359	mux-compose-T2xL2-pre	431456	55.74	0.17	0.102	448.0	259.2	80	4907
1789681733	mux-compose-T2xL2-post	466660	99.08	0.09	0.054	512.3	238.4	162	5196
1789681769	mux-compose-T2xL2-settled	425068	101.78	0.05	0.072	512.3	273.5	163	5368
