# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789682313	warmup	387416	8.42	0.15	0.044	373.5	232.3	17	1811
1789682319	mux-tunnels-2-pre	387416	8.73	0.14	0.056	373.5	261.2	17	1848
1789682469	mux-tunnels-2-post	388748	21.79	0.42	0.066	390.0	223.2	45	3428
1789682505	mux-tunnels-2-settled	398348	24.11	0.46	0.082	390.5	252.1	47	3660
1789682531	mux-legs-2-pre	404236	25.81	0.46	0.062	391.2	275.3	48	3839
1789682651	mux-legs-2-post	452912	38.16	0.67	0.076	471.5	194.5	70	4500
1789682688	mux-legs-2-settled	452912	41.11	0.45	0.110	471.5	305.5	72	4627
