# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789685680	warmup	357888	11.43	0.41	0.054	341.2	208.1	19	2090
1789685686	mux-tunnels-2-pre	357888	11.72	0.42	0.046	341.2	231.0	19	2135
1789685994	mux-tunnels-2-post	459828	40.54	0.31	0.072	443.4	262.8	72	4442
1789686030	mux-tunnels-2-settled	454668	42.95	0.31	0.048	443.9	202.8	74	4468
1789686057	mux-legs-2-pre	414048	44.60	0.19	0.052	444.0	202.5	75	4406
1789686211	mux-legs-2-post	437536	64.40	0.30	0.070	444.0	194.2	119	4581
1789686247	mux-legs-2-settled	434284	66.72	0.23	0.058	444.0	234.5	120	4619
1789686354	mux-tunnels-2-up2-pre	397880	74.51	0.13	0.060	444.0	261.3	126	4723
1789686407	mux-tunnels-2-up2-post	475404	84.88	0.16	0.082	496.1	198.6	156	4810
1789686443	mux-tunnels-2-up2-settled	443164	87.66	0.32	0.076	496.1	216.3	158	4869
