# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789686850	warmup	373276	7.92	0.23	0.050	361.1	175.3	17	1647
1789686856	mux-tunnels-2-pre	373276	8.26	0.21	0.062	361.1	219.4	17	1745
1789687003	mux-tunnels-2-post	396952	21.49	0.42	0.044	382.2	278.6	44	3290
1789687039	mux-tunnels-2-settled	397464	23.65	0.42	0.056	382.7	254.7	46	3450
1789687059	mux-legs-2-pre	397688	25.17	0.38	0.092	383.1	160.7	48	3531
1789687156	mux-legs-2-post	415352	35.42	0.43	0.048	419.1	167.5	71	4041
1789687192	mux-legs-2-settled	415352	37.32	0.41	0.052	419.1	307.2	71	4125
1789687274	mux-compose-T2xL2-pre	413460	42.57	0.15	0.050	419.7	277.0	75	4330
1789687729	mux-compose-T2xL2-post	500520	92.40	0.25	0.068	488.6	254.5	166	4981
1789687764	mux-compose-T2xL2-settled	451064	95.30	0.14	0.094	488.6	226.9	168	5069
