# set	rows	fwd_pass	fwd_fail	fwd_info	dominant_fwd_leg	dominant_kind	rev_pass	rev_fail	rev_info	max_rev_fanout	flips	flip_rows
mux-compose-T2xL2	21	2	6	13	f1012467	other	10	0	11	4	9	3,4,7,9,11,12,13,19,20
mux-legs-2	16	5	5	6	95839ad0	lowest-latency	1	4	11	2	5	7,9,11,12,14
mux-tunnels-2	16	1	2	13	b414796d	direct+lowest-latency	5	0	11	3	11	2,3,4,5,6,9,10,11,12,13,14
