# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789746799	warmup	376064	10.13	0.24	0.040	361.2	179.4	20	1914
1789746813	mux-tunnels-2-pre	376576	10.82	0.18	0.060	361.2	219.4	20	2095
1789747206	mux-tunnels-2-post	448752	46.99	0.44	0.092	455.1	241.0	101	4446
1789747242	mux-tunnels-2-settled	450416	49.34	0.46	0.048	455.6	292.6	103	4485
1789747270	mux-legs-2-pre	443588	51.36	0.46	0.090	455.9	234.7	105	4438
1789747573	mux-legs-2-post	435636	80.87	0.16	0.092	456.2	259.2	175	4647
1789747610	mux-legs-2-settled	435636	82.83	0.26	0.096	456.2	238.7	177	4668
1789747680	mux-compose-T2xL2-pre	426832	87.02	0.16	0.044	456.4	288.2	180	4828
1789748333	mux-compose-T2xL2-post	418432	151.74	0.31	0.046	541.0	187.2	316	5170
1789748369	mux-compose-T2xL2-settled	427520	153.87	0.45	0.056	541.0	302.2	317	5162
