# set	rows	fwd_pass	fwd_fail	fwd_info	dominant_fwd_leg	dominant_kind	rev_pass	rev_fail	rev_info	max_rev_fanout	flips	flip_rows
mux-legs-2	16	16	0	0	95839ad0	lowest-latency	0	5	11	1	0	-
mux-spread-3	8	0	0	8	b414796d	direct	5	0	3	3	0	-
mux-standby-32	20	2	0	18	b414796d	direct+lowest-latency	4	1	15	3	5	6,7,10,11,19
mux-tunnels-2	16	3	6	7	b414796d	direct+lowest-latency	5	0	11	3	5	2,3,6,9,14
