# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789748807	warmup	380836	12.13	0.12	0.052	366.0	218.7	23	2553
1789748813	mux-tunnels-2-pre	380964	12.58	0.10	0.070	366.3	291.6	23	2645
1789749238	mux-tunnels-2-post	422540	54.28	0.23	0.096	443.3	221.6	106	4403
1789749274	mux-tunnels-2-settled	422540	56.70	0.22	0.060	443.3	297.4	107	4445
1789749308	mux-legs-2-pre	418824	58.96	0.19	0.088	443.5	185.1	110	4082
1789749600	mux-legs-2-post	407204	89.04	0.80	0.068	456.1	214.2	178	4479
1789749637	mux-legs-2-settled	407204	91.15	0.57	0.048	456.1	238.6	179	4474
1789750987	mux-spread-3-pre	315712	9.88	0.21	0.074	304.8	206.4	24	2080
1789751269	mux-spread-3-post	430380	40.63	0.12	0.092	455.1	300.6	89	4664
1789751305	mux-spread-3-settled	431148	43.51	0.13	0.084	456.0	307.4	91	4873
