# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789711200	warmup	367780	10.34	0.14	0.088	381.5	197.2	20	1869
1789711206	mux-tunnels-2-pre	367780	10.61	0.27	0.044	381.5	224.9	20	1907
1789711503	mux-tunnels-2-post	385484	42.95	0.54	0.052	446.9	176.0	97	4433
1789711540	mux-tunnels-2-settled	394256	45.26	0.36	0.058	447.2	319.9	98	4447
1789711569	mux-legs-2-pre	421776	47.50	0.22	0.076	447.7	185.4	101	4353
1789711785	mux-legs-2-post	436140	74.25	0.32	0.050	447.8	173.6	166	4535
1789711821	mux-legs-2-settled	436140	76.63	0.21	0.052	447.8	320.1	167	4532
1789711898	mux-compose-T2xL2-pre	413308	81.86	0.42	0.060	447.9	259.1	171	4672
1789712340	mux-compose-T2xL2-post	461080	135.72	0.53	0.054	496.1	267.8	299	5049
1789712376	mux-compose-T2xL2-settled	419540	138.10	0.27	0.050	496.1	207.0	301	5072
