# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789764903	warmup	423068	17.92	0.41	0.056	406.2	264.9	31	3254
1789764909	mux-tunnels-2-pre	380592	18.33	0.46	0.074	406.2	164.4	32	3279
1789765202	mux-tunnels-2-post	475368	54.05	0.34	0.100	479.9	299.0	103	5078
1789765237	mux-tunnels-2-settled	441544	57.03	0.40	0.134	480.0	289.3	106	5067
1789765262	mux-legs-2-pre	413888	59.09	0.34	0.064	480.5	272.8	108	4674
1789765486	mux-legs-2-post	456284	86.95	0.33	0.058	480.5	320.1	174	4684
1789765522	mux-legs-2-settled	435756	89.82	0.21	0.064	480.5	327.2	177	4722
1789765583	mux-compose-T2xL2-pre	446388	94.66	0.13	0.084	480.8	194.3	181	5205
1789766411	mux-compose-T2xL2-post	455124	188.16	0.17	0.060	541.1	270.7	328	5654
1789766447	mux-compose-T2xL2-settled	455124	190.63	0.10	0.066	541.1	269.0	329	5668
