# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789752566	warmup	434968	19.98	0.17	0.084	434.4	179.4	34	3560
1789752572	mux-tunnels-2-pre	435096	20.27	0.16	0.048	434.4	186.5	34	3562
1789753013	mux-tunnels-2-post	459488	66.32	0.20	0.054	475.9	192.2	116	5066
1789753049	mux-tunnels-2-settled	424368	68.92	0.11	0.072	475.9	201.0	118	5102
1789753077	mux-legs-2-pre	424368	70.53	0.12	0.042	476.0	326.9	119	4685
1789753388	mux-legs-2-post	451100	102.73	0.25	0.110	476.2	330.0	188	4991
1789753424	mux-legs-2-settled	417348	104.94	0.14	0.108	476.2	180.2	191	4979
1789754070	mux-spread-3-pre	507176	172.33	0.48	0.094	574.6	213.9	290	5525
1789754503	mux-spread-3-post	453412	214.17	0.22	0.116	574.7	262.9	351	5736
1789754539	mux-spread-3-settled	463780	216.62	0.23	0.058	574.7	335.8	352	5804
