# set	rows	fwd_pass	fwd_fail	fwd_info	dominant_fwd_leg	dominant_kind	rev_pass	rev_fail	rev_info	max_rev_fanout	flips	flip_rows
mux-legs-2	16	16	0	0	95839ad0	lowest-latency	5	0	11	2	0	-
mux-standby-32	20	4	0	16	b414796d	direct+lowest-latency	3	2	15	3	2	6,11
mux-tunnels-2	16	12	0	4	95839ad0	lowest-latency	1	4	11	3	2	13,14
