# row	subject	cut_at_s	what_cut	bytes_before_cut	ttfb_after_s	goodput_before_Bps	goodput_after_Bps	restored	rg_ports_after
1	mux-degrade-tunnels-2	3.202	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	4190208	35.466	1308622	1080981	1	49201,49205,49206
2	mux-degrade-tunnels-2	3.191	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	8388608	3.371	2628834	1430190	1	49201,49209,49210
3	mux-degrade-tunnels-2	3.114	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	4194304	40.442	1346918	680114	1	49201,49212,49213
4	mux-degrade-tunnels-2	3.213	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	35074288	-	10916367	8715177	1	49201,49216,49217
5	mux-degrade-tunnels-2	3.116	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	40228549	-	12910317	7346956	1	49201,49219
6	mux-degrade-tunnels-2	3.071	tp:95839ad0-b588-0b1d-8475-45fba6ae993c(ok=1)	36923124	-	12023160	9199397	1	49201,49221,49222,49223
