# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789677271	warmup	462616	36.66	0.18	0.056	443.8	232.7	40	4551
1789677277	mux-tunnels-2-pre	462616	36.95	0.25	0.050	443.8	255.1	40	4552
1789677440	mux-tunnels-2-post	433088	51.94	0.07	0.052	460.2	187.1	65	4717
1789677477	mux-tunnels-2-settled	433088	54.19	0.23	0.052	460.2	288.5	66	4686
1789677503	mux-legs-2-pre	420820	55.72	0.27	0.056	460.2	252.0	67	4603
1789677638	mux-legs-2-post	450932	69.40	0.14	0.076	460.2	312.5	92	4756
1789677675	mux-legs-2-settled	450932	71.90	0.07	0.058	460.2	289.8	93	4796
1789677769	mux-compose-T2xL2-pre	434932	78.62	0.07	0.082	460.2	219.4	98	5018
1789678236	mux-compose-T2xL2-post	485204	127.80	0.17	0.070	492.2	252.7	188	5272
1789678272	mux-compose-T2xL2-settled	431900	130.93	0.10	0.108	492.2	202.9	191	5326
