# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789721043	warmup	356724	7.68	0.08	0.042	344.9	239.1	16	1685
1789721049	mux-tunnels-2-pre	357492	7.87	0.07	0.032	344.9	246.6	16	1691
1789721253	mux-tunnels-2-post	401940	28.65	0.00	0.060	401.9	259.8	76	3564
1789721289	mux-tunnels-2-settled	402452	31.19	0.05	0.056	402.4	317.4	78	3808
1789721312	mux-legs-2-pre	402836	32.56	0.04	0.052	402.6	271.5	79	3832
1789721466	mux-legs-2-post	404284	52.05	0.11	0.052	435.0	311.1	132	4289
1789721503	mux-legs-2-settled	409148	54.29	0.06	0.138	435.3	296.7	134	4308
1789721569	mux-compose-T2xL2-pre	415032	58.96	0.02	0.054	435.4	219.5	139	4471
1789721852	mux-compose-T2xL2-post	459100	91.92	0.38	0.048	467.7	188.9	220	4722
1789721888	mux-compose-T2xL2-settled	459612	94.40	0.27	0.074	468.0	195.1	222	4747
