# trial	a_MBps	b_MBps	sum_MBps	ref1_MBps	ref2_MBps	ref_sum_MBps	ratio	a_ok	b_ok
1	5.49	6.18	11.67	10.27	8.93	19.20	0.608	1	1
2	5.46	5.72	11.18	10.54	9.06	19.60	0.570	1	1
3	5.54	5.79	11.33	9.84	8.97	18.81	0.602	1	1
4	5.52	5.98	11.50	10.48	8.92	19.40	0.593	1	1
5	5.60	5.55	11.15	10.37	9.15	19.52	0.571	1	1
