# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789731733	warmup	484020	238.81	0.21	0.070	557.4	262.3	375	5670
1789731739	mux-tunnels-2-up2-pre	484020	239.15	0.27	0.058	557.4	297.8	375	5684
1789731853	mux-tunnels-2-up2-post	526676	262.79	0.47	0.062	557.4	222.2	439	5740
1789731889	mux-tunnels-2-up2-settled	527956	265.27	0.39	0.054	557.4	376.5	440	5731
1789731911	mux-legs-2-pre	483248	266.97	0.26	0.096	557.9	300.9	442	5641
1789732120	mux-legs-2-post	495172	293.45	1.16	0.050	557.9	283.4	500	5698
1789732156	mux-legs-2-settled	499140	295.85	0.85	0.054	557.9	254.4	502	5700
1789732217	mux-compose-T2xL2-pre	451744	300.13	0.35	0.072	557.9	190.9	505	5816
1789732878	mux-compose-T2xL2-post	469448	371.66	0.32	0.044	557.9	240.3	632	5944
1789732914	mux-compose-T2xL2-settled	469448	374.06	0.18	0.062	557.9	396.5	633	5936
1789733265	mux-spread-3-pre	499132	408.32	0.10	0.064	558.2	377.6	684	6102
1789733474	mux-spread-3-post	572808	433.92	0.37	0.066	586.2	359.1	733	6129
1789733510	mux-spread-3-settled	522576	436.43	0.47	0.054	586.2	248.8	735	6101
1789733604	mux-tunnels-2-pre	449432	443.67	0.17	0.060	586.6	319.4	741	6094
1789733957	mux-tunnels-2-post	482692	482.00	0.62	0.062	586.6	227.0	807	6208
1789733993	mux-tunnels-2-settled	483460	484.80	0.50	0.062	586.6	202.0	809	6224
1789734069	mux-tunnels-2-up2-pre	482592	490.55	0.20	0.100	586.6	194.9	813	6316
1789734184	mux-tunnels-2-up2-post	494592	516.28	0.32	0.094	586.9	198.0	878	6332
1789734220	mux-tunnels-2-up2-settled	466784	519.35	0.17	0.112	586.9	289.7	880	6329
