# trial	a_MBps	b_MBps	sum_MBps	ref1_MBps	ref2_MBps	ref_sum_MBps	ratio	a_ok	b_ok
1	5.25	5.63	10.88	10.32	9.09	19.41	0.561	1	1
2	5.57	6.18	11.75	10.34	8.99	19.33	0.608	1	1
3	6.67	5.56	12.23	10.14	9.08	19.22	0.636	1	1
4	5.64	5.60	11.24	10.31	9.00	19.31	0.582	1	1
5	5.61	5.60	11.21	10.33	8.97	19.30	0.581	1	1
