# ts	label	rss_anon_kb	cpu_s	load1	idle_cps
1789669030	mux-tunnels-2-pre	347020	13.39	0.34	0.058
1789669745	mux-tunnels-2-post	414744	65.02	0.23	0.040
1789669767	mux-legs-2-pre	417572	66.34	0.23	0.102
1789670016	mux-legs-2-post	418876	92.88	0.52	0.050
1789670098	mux-tunnels-2-up2-pre	433468	97.51	0.65	0.042
1789670642	mux-tunnels-2-up2-post	449480	148.17	0.37	0.048
1789671066	mux-compose-T2xL2-pre	426612	173.44	0.24	0.048
1789671610	mux-compose-T2xL2-post	479020	232.35	0.53	0.072
